4 bins-----CTA-----1GPU-----no workload balance
graph500-scale20-ef16_adj/,15680861,419180059,0.265126,0.265126,0.059145,1,CTA 
graph500-scale21-ef16_adj/,31731650,934780046,0.790416,0.790416,0.040146,1,CTA 
graph500-scale22-ef16_adj/,64097004,2066669110,2.304553,2.304553,0.027813,1,CTA 
graph500-scale23-ef16_adj/,129250705,253609671,7.089190,7.089190,0.018232,1,CTA 
graph500-scale24-ef16_adj/,260261843,1333633430,21.600180,21.600180,0.012049,1,CTA 
graph500-scale25-ef16_adj/,523467448,-131099058,64.703684,64.703684,0.008090,1,CTA 
loc-gowalla_edges_adj/,950327,2273138,0.001405,0.001405,0.676389,1,CTA 
oregon1_010331_adj/,22002,17144,0.000057,0.000057,0.386122,1,CTA 
oregon1_010407_adj/,21999,15834,0.000055,0.000055,0.399439,1,CTA 
oregon1_010414_adj/,22469,18237,0.000056,0.000056,0.401029,1,CTA 
oregon1_010421_adj/,22747,19108,0.000057,0.000057,0.399196,1,CTA 
oregon1_010428_adj/,22493,17645,0.000067,0.000067,0.334548,1,CTA 
oregon1_010505_adj/,22607,17597,0.000056,0.000056,0.403492,1,CTA 
oregon1_010512_adj/,22677,17598,0.000068,0.000068,0.333734,1,CTA 
oregon1_010519_adj/,22724,17677,0.000057,0.000057,0.398792,1,CTA 
oregon1_010526_adj/,23409,19894,0.000058,0.000058,0.404051,1,CTA 
oregon2_010331_adj/,31180,82856,0.000071,0.000071,0.438854,1,CTA 
oregon2_010407_adj/,30855,78138,0.000073,0.000073,0.422926,1,CTA 
oregon2_010414_adj/,31761,88905,0.000073,0.000073,0.435344,1,CTA 
oregon2_010421_adj/,31538,82129,0.000071,0.000071,0.445387,1,CTA 
oregon2_010428_adj/,31434,78000,0.000082,0.000082,0.383267,1,CTA 
oregon2_010505_adj/,30943,72182,0.000070,0.000070,0.442950,1,CTA 
oregon2_010512_adj/,31303,72866,0.000072,0.000072,0.434749,1,CTA 
oregon2_010519_adj/,32287,83709,0.000074,0.000074,0.436844,1,CTA 
oregon2_010526_adj/,32730,89541,0.000073,0.000073,0.447165,1,CTA 
p2p-Gnutella04_adj/,39994,934,0.000077,0.000077,0.519341,1,CTA 
p2p-Gnutella05_adj/,31839,1112,0.000075,0.000075,0.425294,1,CTA 
p2p-Gnutella06_adj/,31525,1142,0.000067,0.000067,0.470553,1,CTA 
p2p-Gnutella08_adj/,20777,2383,0.000054,0.000054,0.385598,1,CTA 
p2p-Gnutella09_adj/,26013,2354,0.000070,0.000070,0.372377,1,CTA 
p2p-Gnutella24_adj/,65369,986,0.000103,0.000103,0.634670,1,CTA 
p2p-Gnutella25_adj/,54705,806,0.000089,0.000089,0.615146,1,CTA 
p2p-Gnutella30_adj/,88328,1590,0.000127,0.000127,0.695074,1,CTA 
p2p-Gnutella31_adj/,147892,2024,0.000193,0.000193,0.766754,1,CTA 
